rad_haplotyper -v FamB.recode.vcf -r reference.fasta -x 35 -d 10 -z 3 -m .5 -g FamB.gen -p FamB.popmap -t FamB.tsv -p1 FamB_FamB-059 -p2 FamB_FamB-194 -e
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_10914	6	4	162	172	0.942	PASSED	6	0	4	
dDocent_Contig_109167	1	2	170	172	0.988	PASSED	0	0	2	
dDocent_Contig_109183	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_1092	5	4	166	172	0.965	PASSED	6	0	0	
dDocent_Contig_109281	2	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_109381	3	3	165	172	0.959	PASSED	5	1	1	
dDocent_Contig_109424	7	4	167	172	0.971	PASSED	5	0	0	
dDocent_Contig_109437	5	2	167	172	0.971	PASSED	0	3	2	
dDocent_Contig_10950	2	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_109596	8	6	160	172	0.930	PASSED	3	8	1	
dDocent_Contig_10960	3	4	160	172	0.930	PASSED	12	0	0	
dDocent_Contig_10971	5	4	163	172	0.948	PASSED	8	0	1	
dDocent_Contig_109848	4	4	163	172	0.948	PASSED	5	0	4	
dDocent_Contig_109867	3	4	163	172	0.948	PASSED	9	0	0	
dDocent_Contig_109945	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_110	3	3	170	172	0.988	PASSED	2	0	0	
dDocent_Contig_11000	3	3	169	172	0.983	PASSED	3	0	0	
dDocent_Contig_110001	4	3	169	172	0.983	PASSED	3	0	0	
dDocent_Contig_1101	3	4	161	172	0.936	PASSED	11	0	0	
dDocent_Contig_110104	2	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_110111	4	3	164	172	0.953	PASSED	5	3	0	
dDocent_Contig_110243	8	4	163	172	0.948	PASSED	5	0	4	
dDocent_Contig_110267	7	4	166	172	0.965	PASSED	5	1	0	
dDocent_Contig_11034	8	4	160	172	0.930	PASSED	11	1	0	
dDocent_Contig_110344	2	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_110409	2	2	163	172	0.948	PASSED	0	1	8	
dDocent_Contig_110552	4	3	161	172	0.936	PASSED	3	1	7	
dDocent_Contig_110673	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_110707	6	4	159	172	0.924	PASSED	5	2	6	
dDocent_Contig_11071	10	5	169	172	0.983	PASSED	1	1	1	
dDocent_Contig_110731	13	7	169	172	0.983	PASSED	3	0	0	
dDocent_Contig_110765	4	4	167	172	0.971	PASSED	0	3	2	
dDocent_Contig_110781	6	4	149	172	0.866	PASSED	3	20	0	
dDocent_Contig_11082	7	5	156	172	0.907	PASSED	1	14	1	
dDocent_Contig_110843	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_110872	9	3	162	172	0.942	PASSED	2	7	1	
dDocent_Contig_110987	2	2	158	172	0.919	PASSED	14	0	0	
dDocent_Contig_111028	2	3	164	172	0.953	PASSED	0	2	6	
dDocent_Contig_111042	2	3	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_11109	5	5	166	172	0.965	PASSED	5	0	1	
dDocent_Contig_111156	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_11122	2	3	169	172	0.983	PASSED	2	0	1	
dDocent_Contig_111223	1	2	164	172	0.953	PASSED	0	0	8	
dDocent_Contig_111288	8	3	164	172	0.953	PASSED	3	5	0	
dDocent_Contig_11137	3	3	161	172	0.936	PASSED	11	0	0	
dDocent_Contig_111455	4	3	164	172	0.953	PASSED	5	0	3	
dDocent_Contig_11149	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_111561	4	2	4	172	0.023	FILTERED	0	163	5	Missing data
dDocent_Contig_111577	6	5	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_11158	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_111677	14	4	163	172	0.948	PASSED	7	0	2	
dDocent_Contig_111697	7	4	162	172	0.942	PASSED	7	0	3	
dDocent_Contig_111734	5	4	160	172	0.930	PASSED	2	9	1	
