LOCUS	MATCHLOC
dDocent_Contig_55010	dDocent_Contig_255326
dDocent_Contig_27435	dDocent_Contig_39758
dDocent_Contig_27435	dDocent_Contig_6725
dDocent_Contig_27435	dDocent_Contig_93547
dDocent_Contig_27570	dDocent_Contig_333242
dDocent_Contig_325604	dDocent_Contig_27754
dDocent_Contig_87568	dDocent_Contig_281
dDocent_Contig_4216	dDocent_Contig_29190
dDocent_Contig_29213	dDocent_Contig_7091
dDocent_Contig_52143	dDocent_Contig_29327
dDocent_Contig_52143	dDocent_Contig_71529
dDocent_Contig_36090	dDocent_Contig_296549
dDocent_Contig_9469	dDocent_Contig_300492
dDocent_Contig_3106	dDocent_Contig_93057
dDocent_Contig_98695	dDocent_Contig_332250
dDocent_Contig_48250	dDocent_Contig_33361
dDocent_Contig_48250	dDocent_Contig_34
dDocent_Contig_33478	dDocent_Contig_400317
dDocent_Contig_99215	dDocent_Contig_35533
dDocent_Contig_55101	dDocent_Contig_35987
dDocent_Contig_36330	dDocent_Contig_596
dDocent_Contig_38092	dDocent_Contig_96441
dDocent_Contig_3862	dDocent_Contig_52450
dDocent_Contig_39041	dDocent_Contig_38784
dDocent_Contig_52501	dDocent_Contig_396914
dDocent_Contig_4588	dDocent_Contig_78438
dDocent_Contig_48412	dDocent_Contig_62600
dDocent_Contig_68086	dDocent_Contig_48858
dDocent_Contig_68086	dDocent_Contig_58262
dDocent_Contig_54827	dDocent_Contig_8769
dDocent_Contig_5747	dDocent_Contig_56975
dDocent_Contig_8591	dDocent_Contig_61134
dDocent_Contig_6178	dDocent_Contig_6716
dDocent_Contig_6178	dDocent_Contig_9303
dDocent_Contig_6178	dDocent_Contig_99272
dDocent_Contig_84119	dDocent_Contig_92423
