LOCUS	MATCHLOC
dDocent_Contig_2225	dDocent_Contig_42394
dDocent_Contig_2225	dDocent_Contig_9857
dDocent_Contig_15823	dDocent_Contig_336119
dDocent_Contig_6448	dDocent_Contig_158754
dDocent_Contig_6448	dDocent_Contig_3021
dDocent_Contig_159109	dDocent_Contig_34603
dDocent_Contig_990	dDocent_Contig_16214
dDocent_Contig_990	dDocent_Contig_187344
dDocent_Contig_990	dDocent_Contig_32550
dDocent_Contig_990	dDocent_Contig_4140
dDocent_Contig_990	dDocent_Contig_5918
dDocent_Contig_990	dDocent_Contig_75380
dDocent_Contig_1872	dDocent_Contig_1633
dDocent_Contig_1872	dDocent_Contig_23502
dDocent_Contig_1872	dDocent_Contig_75370
dDocent_Contig_4352	dDocent_Contig_163522
dDocent_Contig_164099	dDocent_Contig_335990
dDocent_Contig_7027	dDocent_Contig_164687
dDocent_Contig_7027	dDocent_Contig_463
dDocent_Contig_396914	dDocent_Contig_16476
dDocent_Contig_22259	dDocent_Contig_16583
dDocent_Contig_165900	dDocent_Contig_322
dDocent_Contig_166328	dDocent_Contig_195456
dDocent_Contig_166328	dDocent_Contig_3740
dDocent_Contig_166328	dDocent_Contig_45271
dDocent_Contig_166328	dDocent_Contig_4588
dDocent_Contig_166328	dDocent_Contig_61474
dDocent_Contig_166328	dDocent_Contig_83754
dDocent_Contig_30077	dDocent_Contig_16668
dDocent_Contig_30077	dDocent_Contig_24383
dDocent_Contig_26256	dDocent_Contig_168300
dDocent_Contig_26256	dDocent_Contig_29371
dDocent_Contig_26256	dDocent_Contig_43221
dDocent_Contig_26256	dDocent_Contig_58704
dDocent_Contig_26256	dDocent_Contig_79954
dDocent_Contig_26256	dDocent_Contig_90815
dDocent_Contig_26495	dDocent_Contig_16878
dDocent_Contig_26495	dDocent_Contig_53782
dDocent_Contig_267403	dDocent_Contig_169103
dDocent_Contig_87834	dDocent_Contig_169675
dDocent_Contig_174148	dDocent_Contig_377178
dDocent_Contig_355463	dDocent_Contig_17712
dDocent_Contig_355463	dDocent_Contig_9013
dDocent_Contig_27344	dDocent_Contig_1776
dDocent_Contig_5360	dDocent_Contig_182167
dDocent_Contig_29774	dDocent_Contig_182302
dDocent_Contig_29774	dDocent_Contig_230000
dDocent_Contig_29774	dDocent_Contig_238787
dDocent_Contig_29774	dDocent_Contig_4651
dDocent_Contig_29774	dDocent_Contig_729
dDocent_Contig_21388	dDocent_Contig_18485
dDocent_Contig_21388	dDocent_Contig_21007
