"LOCUS" "LG_F" "POS_F" "LG_M" "POS_M"
"209" "dDocent_Contig_359129" 2 5.5797602525942 NA NA
"210" "dDocent_Contig_71287" 2 5.5797603525942 1 57.3226719892874
"211" "dDocent_Contig_36330" 2 5.5797604525942 1 65.4046255390801
"212" "dDocent_Contig_29508" 2 5.57976055259421 1 0.571051182918075
"213" "dDocent_Contig_82357" 2 5.57976065259421 NA NA
"214" "dDocent_Contig_10702" 2 5.57976075259421 1 0.57105138291808
"215" "dDocent_Contig_161221" 2 5.57976085259422 1 26.4144070940221
"216" "dDocent_Contig_3502" 2 5.57976095259422 1 6.0906144079561
"217" "dDocent_Contig_52936" 2 5.57976105259422 1 37.0608042504135
"218" "dDocent_Contig_300979" 2 5.57976115259422 1 4.06802951169139
"219" "dDocent_Contig_3831" 2 5.57976125259423 1 37.0608041504135
"220" "dDocent_Contig_3932" 2 5.57976135259423 1 5.41946309190691
"221" "dDocent_Contig_12852" 2 5.57976145259423 1 5.41946299190691
"222" "dDocent_Contig_12065" 2 5.57976145259423 1 88.9099706356343
"223" "dDocent_Contig_12309" 2 5.57976145259423 1 5.41946299190691
"224" "dDocent_Contig_186532" 2 5.57976145259423 1 58.7887556394776
"225" "dDocent_Contig_257" 2 5.57976145259423 1 6.0906146079561
"226" "dDocent_Contig_360" 2 5.57976145259423 NA NA
"227" "dDocent_Contig_40681" 2 5.57976145259423 NA NA
"228" "dDocent_Contig_45876" 2 5.57976145259423 NA NA
"229" "dDocent_Contig_62402" 2 5.57976145259423 NA NA
"230" "dDocent_Contig_62646" 2 5.57976145259423 1 6.09061430795609
"231" "dDocent_Contig_47979" 24 5.62228612501898 22 1.26984857696773
"232" "dDocent_Contig_245394" 23 5.64367099196703 16 3.25590952511792
"233" "dDocent_Contig_11933" 3 5.69463699402416 4 0.571051180555834
"234" "dDocent_Contig_87428" 5 5.70428295594252 NA NA
"235" "dDocent_Contig_39878" 9 6.01373900020177 7 61.0357797758009
"236" "dDocent_Contig_207044" 9 6.01373910020177 NA NA
"237" "dDocent_Contig_120251" 18 6.06157041273379 NA NA
"238" "dDocent_Contig_300354" 18 6.0615705127338 14 94.0781404960364
"239" "dDocent_Contig_31432" 18 6.0615706127338 14 136.793432551473
"240" "dDocent_Contig_31001" 18 6.0615707127338 14 127.633901099562
"241" "dDocent_Contig_7845" 18 6.0615708127338 14 96.0263600576362
"242" "dDocent_Contig_120759" 18 6.0615708127338 NA NA
"243" "dDocent_Contig_21452" 18 6.0615708127338 NA NA
"244" "dDocent_Contig_22427" 18 6.0615708127338 NA NA
"245" "dDocent_Contig_3025" 18 6.0615708127338 NA NA
"246" "dDocent_Contig_189129" 18 6.06157091273381 NA NA
"247" "dDocent_Contig_63665" 18 6.06157101273381 NA NA
"248" "dDocent_Contig_134399" 18 6.06157111273381 NA NA
"249" "dDocent_Contig_185668" 18 6.06157121273382 NA NA
"250" "dDocent_Contig_174335" 18 6.06157131273382 14 144.281537945881
"251" "dDocent_Contig_62798" 18 6.06157141273382 NA NA
"252" "dDocent_Contig_119333" 18 6.06157151273382 NA NA
"253" "dDocent_Contig_25887" 18 6.06157161273383 14 107.745265494751
"254" "dDocent_Contig_5834" 18 6.06157171273383 14 17.9376994458178
"255" "dDocent_Contig_12222" 18 6.06157181273383 14 95.3627121835938
"256" "dDocent_Contig_79551" 18 6.06157191273383 14 133.922272489287
"257" "dDocent_Contig_48314" 4 6.08816971448939 12 0.571051484856339
"258" "dDocent_Contig_111028" 19 6.12846966593103 NA NA
"259" "dDocent_Contig_23695" 19 6.12846976593103 23 51.9112959774885
"260" "dDocent_Contig_4791" 11 6.14276984657339 19 59.5709669534327
"261" "dDocent_Contig_7023" 16 6.19620074103461 13 2.61240430646926
"262" "dDocent_Contig_4853" 2 6.25544741072999 1 56.6550428792811
"263" "dDocent_Contig_134" 2 6.25544751072999 1 57.3226720892874
"264" "dDocent_Contig_17343" 2 6.25544761073 1 49.1263837194637
"265" "dDocent_Contig_67603" 2 6.25544771073 NA NA
"266" "dDocent_Contig_105322" 2 6.25544771073 NA NA
"267" "dDocent_Contig_2858" 2 6.25544781073 NA NA
"268" "dDocent_Contig_3179" 2 6.25544791073001 1 47.7751524068034
"269" "dDocent_Contig_124909" 23 6.31926316379487 NA NA
"270" "dDocent_Contig_16645" 21 6.33734900367996 21 35.9503385654766
"271" "dDocent_Contig_121543" 21 6.33734910367997 21 56.6925466914411
"272" "dDocent_Contig_8601" 21 6.33734920367997 21 55.3401554146383
"273" "dDocent_Contig_37393" 21 6.33734930367997 21 34.5351254246357
"274" "dDocent_Contig_10275" 21 6.33734940367997 21 58.7153003616026
"275" "dDocent_Contig_145411" 21 6.33734950367998 21 47.8053693152153
"276" "dDocent_Contig_173937" 21 6.33734960367998 NA NA
"277" "dDocent_Contig_16409" 21 6.33734970367998 21 16.5769097692069
"278" "dDocent_Contig_11688" 21 6.33734980367999 21 26.214154836803
"279" "dDocent_Contig_261202" 21 6.33734990367999 21 57.3627644499424
"280" "dDocent_Contig_135616" 21 6.33735000367999 21 50.5469678262363
"281" "dDocent_Contig_5697" 21 6.33735010367999 NA NA
"282" "dDocent_Contig_26394" 21 6.33735020368 21 45.7674402002219
"283" "dDocent_Contig_19188" 21 6.33735030368 21 28.9557965699726
"284" "dDocent_Contig_100003" 21 6.33735040368 21 22.7640718579135
"285" "dDocent_Contig_222608" 21 6.33735050368001 21 29.6239862626486
"286" "dDocent_Contig_10333" 21 6.33735060368001 21 33.8023633406782
"287" "dDocent_Contig_20664" 21 6.33735070368001 NA NA
"288" "dDocent_Contig_269043" 21 6.33735070368001 NA NA
"289" "dDocent_Contig_313224" 21 6.33735070368001 21 28.9557966699726
"290" "dDocent_Contig_4414" 21 6.33735070368001 21 60.066895612581
"291" "dDocent_Contig_14765" 21 6.33735080368001 21 54.0001100131049
"292" "dDocent_Contig_6331" 21 6.33735090368002 NA NA
"293" "dDocent_Contig_5360" 21 6.33735100368002 NA NA
"294" "dDocent_Contig_48707" 21 6.33735110368002 NA NA
"295" "dDocent_Contig_14927" 21 6.33735120368002 21 50.5469677262363
"296" "dDocent_Contig_19549" 21 6.33735120368002 NA NA
"297" "dDocent_Contig_75562" 21 6.33735130368003 21 40.8598365037343
"298" "dDocent_Contig_37696" 21 6.33735140368003 NA NA
"299" "dDocent_Contig_24691" 18 6.73729345300716 14 145.226980092113
"300" "dDocent_Contig_93424" 19 6.80378707232444 NA NA
"301" "dDocent_Contig_57682" 16 6.86827913976755 13 2.61240440646926
"302" "dDocent_Contig_10075" 10 6.95216852084326 8 45.6172925300283
"303" "dDocent_Contig_276420" 2 6.95347518634646 NA NA
"304" "dDocent_Contig_24677" 8 6.98450304675907 NA NA
"305" "dDocent_Contig_115331" 23 7.22066764314121 NA NA
"306" "dDocent_Contig_314536" 18 7.41304617727475 NA NA
"307" "dDocent_Contig_25572" 18 7.41304627727475 14 15.2422256487226
"308" "dDocent_Contig_23307" 18 7.41304637727475 14 16.5912985145266
"309" "dDocent_Contig_33925" 12 7.42720809843354 3 5.22617771540297
"310" "dDocent_Contig_103540" 12 7.42720819843355 3 5.22617751540297
"311" "dDocent_Contig_41874" 12 7.42720829843355 3 5.22617781540298
"312" "dDocent_Contig_273236" 11 7.50035437402644 19 59.5709674534327
"313" "dDocent_Contig_3380" 16 7.53916790178314 13 2.61240460646926
"314" "dDocent_Contig_788" 2 7.7393799463884 1 49.1263841194637
"315" "dDocent_Contig_88256" 4 7.8215097822626 NA NA
"316" "dDocent_Contig_6141" 18 8.08882950705895 14 149.399844646093
"317" "dDocent_Contig_32102" 12 8.10289181887656 3 5.22617801540298
"318" "dDocent_Contig_141242" 12 8.10289191887657 3 5.22617791540298
"319" "dDocent_Contig_157446" 19 8.16512958538964 NA NA
"320" "dDocent_Contig_14400" 19 8.16512968538964 23 53.2635618433246
"321" "dDocent_Contig_123429" 17 8.19350607801279 10 29.4763118477183
"322" "dDocent_Contig_83882" 16 8.20601630671977 NA NA
"323" "dDocent_Contig_17517" 2 8.47673285830951 1 49.1263839194637
"324" "dDocent_Contig_79488" 2 8.47673295830952 1 49.1263838194637
"325" "dDocent_Contig_30738" 10 8.48949851647977 8 45.6172921300283
"326" "dDocent_Contig_13315" 18 8.7638957615629 14 149.399844546093
"327" "dDocent_Contig_63898" 9 8.77319720722586 NA NA
"328" "dDocent_Contig_36368" 9 8.77319730722587 7 61.0357793758009
"329" "dDocent_Contig_327203" 23 9.04781876108407 NA NA
"330" "dDocent_Contig_21292" 21 9.09674499878771 NA NA
"331" "dDocent_Contig_18636" 2 9.15245191241494 1 49.7975356449717
"332" "dDocent_Contig_32499" 2 9.15245201241494 1 49.7975351449716
"333" "dDocent_Contig_11410" 4 9.17816621907169 12 1.91335421807466
"334" "dDocent_Contig_65319" 9 9.44863235490564 7 61.0357802758009
"335" "dDocent_Contig_36832" 19 9.564614732281 23 54.6055026937741
"336" "dDocent_Contig_3877" 15 9.68607900375769 20 1.26984878522172
"337" "dDocent_Contig_113253" 6 9.72715275173164 NA NA
"338" "dDocent_Contig_21342" 1 9.74332902967915 2 46.9493625940782
"339" "dDocent_Contig_13043" 1 9.74332912967915 2 46.9493617940781
"340" "dDocent_Contig_33993" 1 9.74332922967915 2 46.9493616940781
"341" "dDocent_Contig_27780" 11 9.88918141654074 19 59.5709672534327
"342" "dDocent_Contig_17190" 24 9.92357088066948 22 1.26984877696774
"343" "dDocent_Contig_15049" 18 10.1259548725065 14 11.279851535419
"344" "dDocent_Contig_60514" 17 10.4598735437808 10 47.3062293501584
"345" "dDocent_Contig_126711" 17 10.4598736437808 10 57.1042849910093
"346" "dDocent_Contig_99236" 17 10.4598737437808 10 34.1893475188084
"347" "dDocent_Contig_118765" 17 10.4598738437808 NA NA
